Title	RTIA	RTPP	MZ_IA	MZ_PP	IA_113	IA_114	IA_115	IA_116	IA_117	IA_118	IA_119	IA_121	PP_113	PP_114	PP_115	PP_116	PP_117	PP_118	PP_119	PP_121	decoy	PP_114:113	PP_115:113	PP_116:113	PP_117:113	PP_118:113	PP_119:113	PP_121:113	IA_114:113	IA_115:113	IA_116:113	IA_117:113	IA_118:113	IA_119:113	IA_121:113
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	1	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_7621651463938972897	1726.81	1726.81	460.2572327	460.2584	7074.33	6183.84	3387.91	4416.21	7318.14	6920.24	3759.35	3755.22	6860.67	6199.19	3411.59	60.53	7042.53	6479.55	3767.27	60.41	0	0.9035838	0.4972678	0.5212348	1.026508	0.9444485	0.5491111	0.4905687	0.874123769	0.478901889	0.62425841	1.034464041	0.978218432	0.531407215	0.530823414
e_13608329495358078718	1730.14	1730.14	412.2380981	412.2393	13581.1	12275.8	10296.5	11379.6	12061.6	14362.4	7241.3	6289.95	12776.03	11780.17	5529.52	77.75	11988.33	12185.45	7007.53	82.4	0	0.9220524	0.4328042	0.4535869	0.9383455	0.9537744	0.5484904	0.489123	0.903888492	0.758149193	0.837899728	0.888116574	1.057528477	0.533189506	0.463139952
e_18291248232355070597	1730.62	1730.62	621.6657104	621.6668	7038.83	6698.9	3534.08	3549.6	6672.88	6282.84	3735.31	4087.89	7040.33	6700.74	3437.75	60.97	6664.37	6293.11	3733.16	60.13	0	0.9517651	0.4882939	0.5049479	0.9465991	0.8938658	0.5302535	0.576473	0.951706463	0.502083443	0.504288355	0.948009825	0.892597207	0.530672001	0.580762712
